Date,Close
02/01/2019 16:00:00,859.8
03/01/2019 16:00:00,851.45
04/01/2019 16:00:00,864.44
07/01/2019 16:00:00,868.55
08/01/2019 16:00:00,874.42
09/01/2019 16:00:00,885.91
10/01/2019 16:00:00,891.72
11/01/2019 16:00:00,893.39
14/01/2019 16:00:00,895.14
15/01/2019 16:00:00,900.21
16/01/2019 16:00:00,903.91
17/01/2019 16:00:00,911.39
18/01/2019 16:00:00,917.93
21/01/2019 16:00:00,921.65
22/01/2019 16:00:00,914.16
23/01/2019 16:00:00,912.36
24/01/2019 16:00:00,916.29
25/01/2019 16:00:00,919.8
28/01/2019 16:00:00,920.27
29/01/2019 16:00:00,926.77
30/01/2019 16:00:00,926.77
31/01/2019 16:00:00,929.25
01/02/2019 16:00:00,926.22
04/02/2019 16:00:00,932.02
05/02/2019 16:00:00,937.82
06/02/2019 16:00:00,938.07
07/02/2019 16:00:00,937.61
08/02/2019 16:00:00,932.98
11/02/2019 16:00:00,929.15
12/02/2019 16:00:00,933.15
13/02/2019 16:00:00,931.61
14/02/2019 16:00:00,936.04
15/02/2019 16:00:00,944.88
19/02/2019 16:00:00,950.34
20/02/2019 16:00:00,957.06
21/02/2019 16:00:00,955.18
22/02/2019 16:00:00,954.93
25/02/2019 16:00:00,957.49
26/02/2019 16:00:00,957.44
27/02/2019 16:00:00,959.33
28/02/2019 16:00:00,953.91
01/03/2019 16:00:00,958.23
04/03/2019 16:00:00,956.3
05/03/2019 16:00:00,959.09
06/03/2019 16:00:00,960.51
07/03/2019 16:00:00,958.69
08/03/2019 16:00:00,954.25
11/03/2019 16:00:00,960.45
12/03/2019 16:00:00,962.13
13/03/2019 16:00:00,962.71
14/03/2019 16:00:00,959.68
15/03/2019 16:00:00,963.37
18/03/2019 16:00:00,970.27
19/03/2019 16:00:00,965.74
20/03/2019 16:00:00,963.27
21/03/2019 16:00:00,967.26
22/03/2019 16:00:00,958.21
25/03/2019 16:00:00,956.26
26/03/2019 16:00:00,961.89
27/03/2019 16:00:00,960.9
28/03/2019 16:00:00,963.84
29/03/2019 16:00:00,959.5
01/04/2019 16:00:00,967.69
02/04/2019 16:00:00,970.43
03/04/2019 16:00:00,971.66
04/04/2019 16:00:00,973.45
05/04/2019 16:00:00,978.21
08/04/2019 16:00:00,978.82
09/04/2019 16:00:00,974.43
10/04/2019 16:00:00,977.48
11/04/2019 16:00:00,979.13
12/04/2019 16:00:00,984.66
15/04/2019 16:00:00,987.92
16/04/2019 16:00:00,988.51
17/04/2019 16:00:00,990.61
18/04/2019 16:00:00,995.29
22/04/2019 16:00:00,993.16
23/04/2019 16:00:00,999.97
24/04/2019 16:00:00,993.71
25/04/2019 16:00:00,993.71
26/04/2019 16:00:00,995.88
29/04/2019 16:00:00,995.73
30/04/2019 16:00:00,994.53
01/05/2019 16:00:00,990.49
02/05/2019 16:00:00,986.02
03/05/2019 16:00:00,991.58
06/05/2019 16:00:00,991.44
07/05/2019 16:00:00,983.3
08/05/2019 16:00:00,985.67
09/05/2019 16:00:00,979.94
10/05/2019 16:00:00,978.05
13/05/2019 16:00:00,969.92
14/05/2019 16:00:00,974.85
15/05/2019 16:00:00,977.28
16/05/2019 16:00:00,985.52
17/05/2019 16:00:00,982.76
21/05/2019 16:00:00,984.35
22/05/2019 16:00:00,978.7
23/05/2019 16:00:00,969.43
24/05/2019 16:00:00,973.6
27/05/2019 16:00:00,980.6
28/05/2019 16:00:00,978.08
29/05/2019 16:00:00,968.29
30/05/2019 16:00:00,965.62
31/05/2019 16:00:00,961.89
03/06/2019 16:00:00,959.59
04/06/2019 16:00:00,968.48
05/06/2019 16:00:00,972.5
06/06/2019 16:00:00,973.09
07/06/2019 16:00:00,973.47
10/06/2019 16:00:00,972.46
11/06/2019 16:00:00,974.13
12/06/2019 16:00:00,972.9
13/06/2019 16:00:00,972.55
14/06/2019 16:00:00,976.82
17/06/2019 16:00:00,979.17
18/06/2019 16:00:00,988.16
19/06/2019 16:00:00,988.79
20/06/2019 16:00:00,992.05
21/06/2019 16:00:00,988.75
24/06/2019 16:00:00,988.24
25/06/2019 16:00:00,978.66
26/06/2019 16:00:00,974.89
27/06/2019 16:00:00,975.06
28/06/2019 16:00:00,979.6
02/07/2019 16:00:00,985.45
03/07/2019 16:00:00,992.46
04/07/2019 16:00:00,992.84
05/07/2019 16:00:00,989.73
08/07/2019 16:00:00,985.05
09/07/2019 16:00:00,991.27
10/07/2019 16:00:00,990.76
11/07/2019 16:00:00,989.48
12/07/2019 16:00:00,986.02
15/07/2019 16:00:00,986.66
16/07/2019 16:00:00,986.62
17/07/2019 16:00:00,984.45
18/07/2019 16:00:00,985.07
19/07/2019 16:00:00,984.15
22/07/2019 16:00:00,986.83
23/07/2019 16:00:00,990.28
